"","country_name","year","ny.gdp.mktp.kd","ny.gdp.mktp.kd.zg","se.com.durs","se.pre.durs","se.prm.ages","se.prm.durs","se.prm.enrl","se.prm.enrl.fe.zs","se.sec.ages","se.sec.durs","se.sec.enrl","sg.gen.parl.zs","sh.dth.imrt","sh.dth.mort","sh.dth.nmrt","sh.dyn.mort","sh.dyn.nmrt","sp.ado.tfrt","sp.dyn.amrt.fe","sp.dyn.amrt.ma","sp.dyn.imrt.in","sp.dyn.le00.fe.in","sp.dyn.le00.in","sp.dyn.le00.ma.in","sp.dyn.tfrt.in","sp.dyn.to65.fe.zs","sp.dyn.to65.ma.zs","vc.ihr.psrc.p5"
"135","Bermuda",2013,5151445059.9242,-2.51115443098975,13,1,5,6,4122,48.4230995178223,11,7,4175,,,,,,,,,,,84.46,80.5724390243902,76.87,1.63,,,7.9654617578181
"136","Bermuda",2014,,,13,1,5,6,4100,48.3414611816406,11,7,4093,,,,,,,,,,,84.69,80.7973170731707,77.09,1.63,,,6.41210605623417
"137","Bermuda",2015,,,13,1,5,6,4147,48.6375694274902,11,7,4040,,,,,,,,,,,84.91,81.0121951219512,77.3,1.62,,,6.45130074351241
"138","Bermuda",2016,,,13,1,5,6,,,11,7,,,,,,,,,,,,85.13,81.2270731707317,77.51,1.61,,,12.9601249356044
"139","Bermuda",2017,,,13,1,5,6,,,11,7,,,,,,,,,,,,85.35,81.4419512195122,77.72,1.61,,,
"140","Bermuda",2018,,,,,5,6,,,11,7,,,,,,,,,,,,,,,,,,
"141","Bolivia",1999,13151399933.0676,0.426889576708106,8,2,6,6,1444879,48.6934204101563,12,6,829759,11.5,15533,21272,7978,83.9,31,90.9858,212.472,276.323,61.1,62.162,60.122,58.178,4.148,62.73355,55.25139,
"142","Bolivia",2000,13481211733.9622,2.50780755336397,8,2,6,6,1461816,48.6876602172852,12,6,800107,11.5,14891,20266,7690,79.6,29.8,89.9622,207.982,272.111,58.4,62.767,60.69,58.712,4.055,63.48946,55.97399,
"143","Bolivia",2001,13708208503.73,1.68380093902091,8,2,6,6,1469558,48.7248497009277,12,6,846804,11.5,14246,19266,7472,75.5,29,88.9386,203.491,267.9,55.8,63.372,61.26,59.247,3.96,64.24538,56.69658,
"144","Bolivia",2002,14048934915.4679,2.4855648471145,8,2,6,6,1497204,48.7559509277344,12,6,914919,18.5,13603,18278,7297,71.6,28.3,87.915,199,263.688,53.2,63.978,61.829,59.782,3.866,65.00129,57.41917,
"145","Bolivia",2003,14429849406.7446,2.71134070709702,8,2,6,6,1494321,48.9131202697754,12,6,961699,18.5,12964,17305,7162,67.7,27.8,86.7062,195.201,259.836,50.7,64.584,62.399,60.318,3.773,65.67788,58.10482,
"146","Bolivia",2004,15032049492.1373,4.17329431803543,8,2,6,6,1504493,48.9815483093262,12,6,1010459,19.2,12337,16359,7025,64.1,27.3,85.4974,191.401,255.983,48.3,65.189,62.968,60.854,3.683,66.35448,58.79047,
"147","Bolivia",2005,15696681754.5709,4.42143476697063,8,2,6,6,1512676,49.0142593383789,12,6,1038195,16.9,11736,15460,6873,60.6,26.8,84.2886,187.602,252.131,46,65.796,63.538,61.391,3.595,67.03107,59.47613,5.23812138173752
"148","Bolivia",2006,16449653017.8603,4.79700917087203,8,2,6,6,1508194,49.0110702514648,12,6,1043127,16.9,11146,14584,6695,57.2,26.1,83.0798,183.802,248.279,43.8,66.406,64.113,61.933,3.51,67.70766,60.16178,5.19210016573787
"149","Bolivia",2007,17200478143.0285,4.56438275234794,8,2,6,6,1512002,48.9773788452148,12,6,1052014,16.9,10575,13747,6489,54.1,25.4,81.871,180.002,244.427,41.6,67.019,64.692,62.479,3.427,68.38426,60.84743,8.15553214105808
"150","Bolivia",2008,18258049059.1816,6.14849719501387,8,2,6,6,1508389,48.8645210266113,12,6,1059641,16.9,10034,12961,6248,51.1,24.5,80.0126,176.339,240.307,39.6,67.632,65.272,63.026,3.348,69.01937,61.53243,8.6251302754052
"151","Bolivia",2009,18870971995.9564,3.35700125894111,14,2,6,6,1469495,48.7247695922852,12,6,1054878,22.3,9535,12240,6005,48.4,23.7,78.1542,172.675,236.186,37.8,68.238,65.847,63.569,3.272,69.65449,62.21742,8.3924700176703
"152","Bolivia",2010,19649724655.4886,4.12672256468305,14,2,6,6,1429084,48.679988861084,12,6,1058257,25.4,9089,11609,5800,46,22.9,76.2958,169.011,232.066,36.1,68.829,66.408,64.098,3.2,70.28961,62.90242,12.8349358686751
"153","Bolivia",2011,20672314545.3975,5.20409271802829,14,2,6,6,1389709,48.6320495605469,12,6,1059980,25.4,8706,11068,5608,44,22.2,74.4374,165.347,227.946,34.7,69.394,66.945,64.606,3.134,70.92472,63.58741,12.2639207655465
"154","Bolivia",2012,21731207275.1952,5.12227466098376,14,2,6,6,1361227,48.6333312988281,12,6,1078672,25.4,8370,10596,5441,42.2,21.6,72.579,161.683,223.826,33.4,69.927,67.451,65.085,3.072,71.55984,64.27241,11.9249880164125
"155","Bolivia",2013,23208062665.3852,6.79601170559745,14,2,6,6,1348603,48.4301910400391,12,6,1112722,25.4,8071,10173,5290,40.5,21,71.6922,158.56,221.459,32.2,70.422,67.922,65.532,3.017,72.11351,64.73991,8.96131098210584
"156","Bolivia",2014,24475355115.315,5.460569751994,14,2,6,6,1335013,48.3705291748047,12,6,1131625,53.1,7797,9789,5137,39,20.4,70.8054,155.437,219.093,31.1,70.878,68.357,65.943,2.966,72.66719,65.20741,8.91863112456459
"157","Bolivia",2015,25664169101.2128,4.857187894912,14,2,6,6,1334890,48.4226493835449,12,6,1153379,53.1,7535,9425,5028,37.5,19.9,69.9186,152.314,216.726,30,71.299,68.756,66.322,2.921,73.22087,65.67491,6.25658234888512
"158","Bolivia",2016,26758468587.3794,4.26391940393987,14,2,6,6,1344818,48.5358390808105,12,6,1159898,53.1,7296,9093,4867,36.1,19.2,69.0318,149.191,214.36,29,71.689,69.125,66.672,2.878,73.77454,66.14241,6.30019121723221
"159","Bolivia",2017,27881041739.7675,4.19520701912501,14,2,6,6,1359959,48.6108703613281,12,6,1236952,53.1,7075,8795,4697,34.9,18.5,68.145,146.068,211.993,28,72.058,69.473,67.001,2.839,74.32822,66.60991,
"160","Bolivia",2018,,,14,2,6,6,,,12,6,,53.1,,,,,,,,,,,,,,,,
"161","Brazil",1999,1474026486630.77,0.46793756667951,8,3,7,4,20939076,47.7313613891602,11,7,,5.7,115564,132857,69005,37,19.3,81.2024,129.055,252.662,32.3,73.527,69.599,65.796,2.365,78.46886,63.59868,
"162","Brazil",2000,1538706023650.13,4.38794944364911,8,3,7,4,20211506,47.6987113952637,11,7,,5.7,107660,123371,64863,34.7,18.3,79.6726,125.46,247.531,30.4,73.969,70.055,66.252,2.3,79.05339,64.34022,23.7295736165923
"163","Brazil",2001,1560092443348.02,1.38989640445797,8,3,7,4,19727684,47.7529907226563,11,7,,6.8,99804,114069,60795,32.5,17.4,78.1428,121.864,242.399,28.6,74.388,70.486,66.685,2.232,79.63793,65.08176,24.7395466282631
"164","Brazil",2002,1607729271037.04,3.05346185683631,8,3,7,4,19380388,47.7374114990234,11,7,26789210,6.2,92224,105094,56831,30.5,16.6,76.613,118.269,237.267,26.8,74.788,70.896,67.098,2.163,80.22246,65.8233,25.3037856092223
"165","Brazil",2003,1626070712782.76,1.14082899877097,8,3,7,4,18919122,47.719898223877,11,7,24592568,8.6,84966,96583,53015,28.5,15.8,75.1682,115.955,233.267,25.2,75.17,71.29,67.498,2.096,80.67387,66.41904,25.6614767508452
"166","Brazil",2004,1719731810809.38,5.75996463686008,8,3,7,4,18979208,47.7067604064941,11,7,25155104,8.6,78190,88639,49378,26.6,15,73.7234,113.64,229.267,23.6,75.537,71.67,67.886,2.033,81.12528,67.01479,24.0226772500913
"167","Brazil",2005,1774799882770.62,3.2021313797365,8,3,7,4,18661104,47.5925598144531,11,7,24863112,8.6,71935,81383,46029,24.9,14.2,72.2786,111.325,225.268,22.1,75.892,72.04,68.266,1.975,81.57669,67.61053,23.349664297236
"168","Brazil",2006,1845117253988.32,3.96198872336659,9,3,7,4,,,11,7,,8.8,66355,74949,43022,23.3,13.5,70.8338,109.011,221.268,20.8,76.241,72.405,68.643,1.926,82.0281,68.20627,23.8535443936115
"169","Brazil",2007,1957113483856.01,6.06987060717168,9,3,7,4,17996084,47.208610534668,11,7,23423870,9,61497,69338,40394,21.9,12.9,69.389,106.696,217.268,19.5,76.585,72.768,69.019,1.884,82.47951,68.80202,23.3606164568557
"170","Brazil",2008,2056812669847.52,5.09419544721956,9,3,7,4,17812436,47.1778793334961,11,7,23645668,9,57368,64565,38156,20.7,12.3,68.911,105.214,214.047,18.5,76.926,73.129,69.395,1.851,82.77481,69.338,23.7771949821553
"171","Brazil",2009,2054224952699.49,-0.125811999603485,9,3,7,4,17451886,47.2005310058594,11,7,23616942,8.8,53926,60580,36196,19.6,11.8,68.433,103.733,210.825,17.5,77.262,73.488,69.767,1.824,83.07012,69.87398,22.8419264190528
"172","Brazil",2010,2208871646202.82,7.5282258303847,9,3,7,4,16893490,47.2366485595703,11,7,23538716,8.6,51043,57291,34326,18.7,11.2,67.955,102.251,207.604,16.7,77.589,73.838,70.132,1.805,83.36542,70.40996,21.9882217380859
"173","Brazil",2011,2296661550704.87,3.97442307944729,9,3,7,4,16486880,47.3332786560059,11,7,23399408,8.6,48645,54556,32553,17.9,10.7,67.477,100.77,204.383,16,77.901,74.174,70.481,1.79,83.66072,70.94594,24.2009167720386
"174","Brazil",2012,2340784460875.91,1.92117598509438,9,3,7,4,16134889,47.4266510009766,11,7,23134072,8.6,46642,52279,31058,17.3,10.3,66.999,99.288,201.161,15.4,78.193,74.488,70.808,1.777,83.95602,71.48193,26.4528021384897
"175","Brazil",2013,2411120883018.91,3.00482267028906,14,2,6,5,16760693,47.7624282836914,11,7,24881382,8.6,44886,50300,29978,16.7,10,65.9186,97.893,198.648,14.9,78.462,74.777,71.11,1.765,84.20584,71.86538,26.7592342603254
"176","Brazil",2014,2423271865113.81,0.503955740273241,14,2,6,5,16630217,47.8852806091309,11,7,24224944,9.9,43273,48494,29058,16.2,9.7,64.8382,96.498,196.135,14.5,78.707,75.042,71.388,1.753,84.45567,72.24884,27.9565761326428
"177","Brazil",2015,2337348378396.28,-3.54576339347277,14,2,6,5,15562403,47.9250411987305,11,7,23501784,9.9,41706,46747,27869,15.7,9.4,63.7578,95.103,193.622,14,78.932,75.284,71.644,1.74,84.70549,72.6323,28.3833762276312
"178","Brazil",2016,2260088395608.76,-3.3054543131706,14,2,6,5,15442039,47.9426383972168,11,7,23538072,9.9,43026,48257,28361,16.3,9.6,62.6774,93.708,191.109,14.6,79.139,75.509,71.883,1.726,84.95532,73.01576,29.5279564980517
"179","Brazil",2017,2284132600491.48,1.06386126000366,14,2,6,5,,,11,7,,10.7,38582,43278,24726,14.8,8.5,61.597,92.313,188.596,13.2,79.336,75.723,72.112,1.711,85.20514,73.39922,
"180","Brazil",2018,,,14,2,6,5,,,11,7,,10.7,,,,,,,,,,,,,,,,
"181","British Virgin Islands",1999,,,12,2,5,7,2757,48.9662704467773,12,5,1511,,,,,,,,,,,,,,,,,5
"182","British Virgin Islands",2000,,,12,2,5,7,2883,49.7664413452148,12,5,1513,,,,,,,,,,,,,,,,,
"183","British Virgin Islands",2001,,,12,2,5,7,2775,49.6576614379883,12,5,1562,,,,,,,,,,,,,,,,,4.74270808631729
"184","British Virgin Islands",2002,,,12,2,5,7,2811,48.9505500793457,12,5,1593,,,,,,,,,,,,,,,,,4.64489758000836
"185","British Virgin Islands",2003,,,12,2,5,7,2780,47.8777008056641,12,5,1633,,,,,,,,,,,,,,,,,9.09090909090909
"186","British Virgin Islands",2004,,,12,2,5,7,2824,48.1940498352051,12,5,1707,,,,,,,,,,,,,,,,,17.7454416396788
"187","British Virgin Islands",2005,,,12,2,5,7,2892,48.2401695251465,12,5,1882,,,,,,,,,,,,,,,,,
"188","British Virgin Islands",2006,,,12,2,5,7,2923,48.3407516479492,12,5,1959,,,,,,,,,,,,,,,,,8.36645053336122
"189","British Virgin Islands",2007,,,12,2,5,7,3044,48.8173484802246,12,5,1921,,,,,,,,,,,,,,,,,
"190","British Virgin Islands",2008,,,12,2,5,7,,,12,5,,,,,,,,,,,,,,,,,,
"191","British Virgin Islands",2009,,,12,2,5,7,3128,49.0409202575684,12,5,1942,,,,,,,,,,,,,,,,,
"192","British Virgin Islands",2010,,,12,2,5,7,3201,48.5785713195801,12,5,2029,,,,,,,,,,,,,,,,,
"193","British Virgin Islands",2011,,,12,2,5,7,3138,48.0242195129395,12,5,1923,,,,,,,,,,,,,,,,,
"194","British Virgin Islands",2012,,,12,2,5,7,3164,48.2933006286621,12,5,1955,,,,,,,,,,,,,,,,,
"195","British Virgin Islands",2013,,,12,2,5,7,3197,47.8260917663574,12,5,1977,,,,,,,,,,,,,,,,,
"196","British Virgin Islands",2014,,,12,2,5,7,3277,47.4824485778809,12,5,1987,,,,,,,,,,,,,,,,,
"197","British Virgin Islands",2015,,,12,2,5,7,3358,46.7242393493652,12,5,2027,,,,,,,,,,,,,,,,,
"198","British Virgin Islands",2016,,,12,2,5,7,3309,46.6606216430664,12,5,2034,,,,,,,,,,,,,,,,,
"199","British Virgin Islands",2017,,,12,2,5,7,3334,46.9106216430664,12,5,2255,,,,,,,,,,,,,,,,,
"200","British Virgin Islands",2018,,,,,5,7,,,12,5,,,,,,,,,,,,,,,,,,
"201","Canada",1999,1276575905731.42,5.16321090007285,10,1,6,6,2428620,48.827320098877,12,6,2511517,20.6,1805,2160,1262,6.3,3.7,17.8262,61.623,104.145,5.3,81.6,78.8853658536585,76.3,1.50866666666667,89.82936,83.432,1.5863704840566
"202","Canada",2000,1342736881188.7,5.18269028580526,10,1,6,6,2456434,48.8292808532715,12,6,2519080,,1763,2100,1246,6.2,3.7,16.6848,61.045,100.924,5.3,81.8,79.1365853658537,76.6,1.488,89.9816,83.78261,1.77643165180846
"203","Canada",2001,1366514322196.39,1.77081908904144,10,1,6,6,,,12,6,,20.6,1743,2065,1255,6.2,3.8,15.5434,59.333,99.424,5.2,81.9,79.3390243902439,76.9,1.5104,90.13384,84.13321,1.78567215342908
"204","Canada",2002,1407646626140.14,3.01001630759674,10,1,6,6,,,12,6,,20.6,1741,2051,1280,6.1,3.8,14.402,59.461,96.843,5.2,82,79.490243902439,77.1,1.5014,90.28608,84.48381,1.85818480439684
"205","Canada",2003,1433016265611.16,1.80227331205884,10,1,6,6,,,12,6,,20.6,1753,2054,1313,6.1,3.9,14.3096,58.285,96.936,5.2,82.2,79.7414634146342,77.4,1.5251,90.4179,84.75209,1.73581436537204
"206","Canada",2004,1477238591688,3.08596120909861,10,1,6,6,,48.6071395874023,12,6,,21.1,1772,2065,1347,6.1,3.9,14.2172,57.038,94.7,5.2,82.3,79.8926829268293,77.6,1.5258,90.54972,85.02037,1.95621722925335
"207","Canada",2005,1524530644076.37,3.20138213653979,10,1,6,6,2320738,48.6314315795898,12,6,2601926,21.1,1794,2080,1375,6.1,3.9,14.1248,57.101,94.329,5.2,82.6,80.1926829268293,77.9,1.5434,90.68154,85.28865,2.05649284966108
"208","Canada",2006,1564525373435.42,2.6234126230555,10,1,6,6,2305211,48.6447906494141,12,6,2632432,20.8,1814,2095,1397,6,3.9,14.0324,55.857,91.806,5.2,82.7,80.3439024390244,78.1,1.5862,90.81336,85.55693,1.86243223909415
"209","Canada",2007,1596797584439.46,2.06274769025849,10,1,6,6,2260819,48.6615180969238,12,6,2657320,21.3,1829,2106,1409,5.9,3.9,13.94,55.455,91.762,5.1,82.9,80.5439024390244,78.3,1.6589,90.94519,85.82521,1.80799887776874
"210","Canada",2008,1612771324291.35,1.00036097295921,10,1,6,6,2200335,48.6886291503906,12,6,2668134,22.1,1839,2113,1415,5.8,3.8,13.4188,55.879,89.926,5,83,80.6951219512195,78.5,1.6808,91.09361,86.13054,1.83807306717636
"211","Canada",2009,1565201220603.96,-2.94958764276713,10,1,6,6,2193237,48.7197685241699,12,6,2657932,22.1,1844,2115,1416,5.7,3.8,12.8976,54.772,87.745,5,83.3,80.9951219512195,78.8,1.668,91.24204,86.43587,1.80527685977476
"212","Canada",2010,1613464422811.13,3.08351421988722,10,1,6,6,2168022,48.7554588317871,12,6,2611619,22.1,1844,2114,1414,5.6,3.7,12.3764,52.65,85.388,4.9,83.5,81.2463414634146,79.1,1.6269,91.39047,86.7412,1.62722175766407
"213","Canada",2011,1664146873841.15,3.1412190013904,10,1,6,6,2153778,48.7462997436523,12,6,2583789,24.8,1841,2109,1411,5.6,3.7,11.8552,52.241,81.379,4.8,83.6,81.4487804878049,79.4,1.61,91.5389,87.04653,1.75455755009566
"214","Canada",2012,1693194096275.46,1.74547228318005,10,1,6,6,2165148,48.7984199523926,12,6,2734631,24.7,1834,2101,1407,5.5,3.7,11.334,,,4.8,83.8,81.6487804878049,79.6,1.6142,91.68733,87.35187,1.57016885475523
"215","Canada",2013,1735100681636.87,2.4750018591249,10,1,6,6,2206136,48.8194313049316,12,6,2697507,24.7,1826,2090,1402,5.5,3.6,10.9476,,,4.8,83.9,81.7487804878049,79.7,1.587,91.81266,87.6156,1.44374657057006
"216","Canada",2014,1784650632037.56,2.8557392043642,10,1,6,6,2231054,48.8909187316895,12,6,2661089,25.1,1814,2075,1394,5.4,3.6,10.5612,,,4.7,83.9,81.8,79.8,1.5818,91.93798,87.87934,1.46328880816053
"217","Canada",2015,1802512887794.11,1.00088249407992,10,1,6,6,2285444,48.8687286376953,12,6,2641675,26,1798,2054,1382,5.3,3.6,10.1748,,,4.7,84,81.9,79.9,1.563,92.06331,88.14307,1.68012486554481
"218","Canada",2016,1828002272029.79,1.41410274557691,10,1,6,6,2318914,48.7660598754883,12,6,2640933,26,1777,2028,1365,5.2,3.5,9.7884,,,4.6,84.253,82.300512195122,80.441,1.5433,92.18863,88.40681,1.68410454480005
"219","Canada",2017,1883707911710.79,3.04735068075965,10,1,6,6,,,12,6,,26.3,1749,1994,1342,5.1,3.5,9.402,,,4.5,84.382,82.4704878048781,80.65,1.4961,92.31396,88.67054,
"220","Canada",2018,,,10,1,6,6,,,12,6,,27,,,,,,,,,,,,,,,,
"221","Cayman Islands",1999,,3.40000000000022,12,2,5,6,3231,46.8276100158691,11,6,2151,,,,,,,,,,,,,,,,,
"222","Cayman Islands",2000,,0.999999999999915,12,2,5,6,3435,49.9563293457031,11,6,2342,,,,,,,,,,,,,,,,,9.59531748506729
"223","Cayman Islands",2001,,0.599999999999909,12,2,5,6,3549,49.0279006958008,11,6,2337,,,,,,,,,,,,,,,,,4.61723150798781
"224","Cayman Islands",2002,,1.70000000000037,12,2,5,6,3579,49.3713302612305,11,6,2341,,,,,,,,,,,,,,,,,0
"225","Cayman Islands",2003,,1.99999999999983,12,2,5,6,,,11,6,,,,,,,,,,,,,,,,,,6.51777179108369
"226","Cayman Islands",2004,,0.899999999999835,12,2,5,6,3361,48.5272216796875,11,6,2701,,,,,,,,,,,,,,,,,10.5710480137001
"227","Cayman Islands",2005,,6.50000000000026,12,2,5,6,3240,48.3950614929199,11,6,2824,,,,,,,,,,,,,,,,,6.17004648101682
"228","Cayman Islands",2006,,4.59999999999977,12,2,5,6,3461,48.0497016906738,11,6,2899,,,,,,,,,,,,,,,,,1.99876076832364
"229","Cayman Islands",2007,,3.16262533840752,12,2,5,6,3706,48.2191009521484,11,6,3010,,,,,,,,,,,,,,,,,3.88477749936872
"230","Cayman Islands",2008,,-0.357398563917201,12,2,5,6,3736,47.8586692810059,11,6,3198,,,,,,,,,,,,,,,,,7.55772210255829
"231","Cayman Islands",2009,,-7.20049456050032,12,2,5,6,,,11,6,,,,,,,,,,,,,,,,,,14.7386650454135
"232","Cayman Islands",2010,,-2.71558354994046,12,2,5,6,,,11,6,,,,,,,,,,,,84.7,82.190243902439,79.8,,,,16.2141711856162
"233","Cayman Islands",2011,,1.16901728284363,12,2,5,6,3985,50.3136787414551,11,6,3246,,,,,,,,,,,,,,,,,
"234","Cayman Islands",2012,,1.229752911443,12,2,5,6,4033,50.0371894836426,11,6,3302,,,,,,,,,,,,,,,,,
"235","Cayman Islands",2013,,1.27933136483003,12,2,5,6,3950,49.6962013244629,11,6,3387,,,,,,,,,,,,,,,,,8.56589744907574
"236","Cayman Islands",2014,,2.65452932151351,12,2,5,6,,,11,6,,,,,,,,,,,,,,,,,,8.44994254039073
"237","Cayman Islands",2015,,2.83312242670064,12,2,5,6,,,11,6,,,,,,,,,,,,,,,,,,
"238","Cayman Islands",2016,,3.53565894998682,12,2,5,6,,,11,6,,,,,,,,,,,,,,,,,,
"239","Cayman Islands",2017,,2.89999999999991,12,2,5,6,,,11,6,,,,,,,,,,,,,,,,,,
"240","Cayman Islands",2018,,,12,2,5,6,4299,48.3833389282227,11,6,3476,,,,,,,,,,,,,,,,,
"241","Chile",1999,137215327660.067,-0.412096167033098,8,2,6,6,1804612,48.4161109924316,12,6,1304679,10.8,2565,3048,1520,11.5,5.8,60.3282,77.088,144.719,9.8,79.468,76.533,73.449,2.144,86.79414,77.52935,
"242","Chile",2000,144524703666.117,5.32693841912362,8,2,6,6,1798515,48.5080718994141,12,6,1391283,10.8,2403,2847,1422,10.9,5.5,59.4428,75.536,142.235,9.2,79.723,76.793,73.713,2.107,87.07219,77.92593,
"243","Chile",2001,149298423006.472,3.3030473125087,8,2,6,6,,,12,6,,10.8,2248,2650,1330,10.3,5.2,58.5574,73.983,139.752,8.7,79.952,77.034,73.968,2.074,87.35024,78.32251,
"244","Chile",2002,153937081014.428,3.10697053227061,8,2,6,6,1753952,48.5045204162598,12,6,1496937,12.5,2122,2504,1269,9.8,5,57.672,72.431,137.269,8.3,80.152,77.255,74.209,2.046,87.62829,78.71909,
"245","Chile",2003,160234720403.17,4.09104768470421,12,2,6,6,1713538,48.4719314575195,12,6,1557120,12.5,2044,2408,1242,9.5,4.9,57.049,72.181,135.134,8.1,80.324,77.453,74.435,2.022,87.68873,79.04166,3.24692956289492
"246","Chile",2004,171786906198.963,7.20953970945035,12,2,6,6,1755997,47.9312286376953,12,6,1594966,12.5,1992,2346,1244,9.3,4.9,56.426,71.93,133,7.9,80.469,77.632,74.647,2.001,87.74916,79.36422,
"247","Chile",2005,181652337025.042,5.74283048945117,12,2,6,6,1720951,47.9619102478027,12,6,1630099,15,1965,2306,1266,9.2,5,55.803,71.68,130.866,7.8,80.59,77.791,74.845,1.982,87.80959,79.68679,3.56721197116702
"248","Chile",2006,193127635486.362,6.31717634314714,12,2,6,6,1694765,47.9532585144043,12,6,1633868,15,1939,2282,1296,9.1,5.2,55.18,71.43,128.732,7.7,80.691,77.934,75.029,1.964,87.87003,80.00936,3.61524215504707
"249","Chile",2007,202601172713.024,4.90532450356156,12,2,6,6,1679017,47.834659576416,12,6,1611631,15,1934,2271,1325,9.1,5.3,54.557,71.179,126.598,7.7,80.779,78.066,75.203,1.945,87.93046,80.33192,3.73521520266544
"250","Chile",2008,209752043005.204,3.52953055326518,12,2,6,6,1656810,47.7688407897949,12,6,1588836,15,1927,2257,1344,9.1,5.4,53.7178,70.921,124.727,7.7,80.863,78.193,75.371,1.925,87.98792,80.61613,3.52900040103369
"251","Chile",2009,206471018816.037,-1.5642394429907,12,2,6,6,1611682,47.8529281616211,12,6,1528200,14.2,1898,2221,1348,9,5.5,52.8786,70.663,122.857,7.7,80.948,78.32,75.537,1.903,88.04538,80.90034,3.74343962206234
"252","Chile",2010,218537551220.071,5.84417729578996,12,2,6,6,1546543,48.3647689819336,12,6,1518224,14.2,1845,2159,1335,8.8,5.4,52.0394,70.405,120.986,7.5,81.042,78.454,75.706,1.879,88.10283,81.18455,3.18359754054438
"253","Chile",2011,231892203586.311,6.11091882913644,12,2,6,6,1520405,48.2879905700684,12,6,1493033,14.2,1771,2093,1316,8.5,5.4,51.2002,70.146,119.116,7.2,81.151,78.599,75.883,1.856,88.16029,81.46876,3.70772904685654
"254","Chile",2012,244225687257.03,5.31862800041417,12,2,6,6,1503898,48.2952308654785,12,6,1443554,14.2,1739,2040,1300,8.4,5.4,50.361,69.888,117.245,7.2,81.275,78.758,76.071,1.834,88.21775,81.75297,2.50725804988704
"255","Chile",2013,254104626803.632,4.04500429809616,13,3,6,6,1465733,48.3104515075684,12,6,1571374,14.2,1708,1997,1289,8.3,5.4,49.416,68.985,115.015,7.1,81.415,78.931,76.271,1.815,88.38105,82.09728,3.18387775925097
"256","Chile",2014,258593994337.717,1.76673978374835,13,3,6,6,1462555,48.3294906616211,12,6,1556372,15.8,1659,1949,1276,8.1,5.3,48.471,68.082,112.784,6.9,81.569,79.117,76.484,1.798,88.54434,82.44158,3.62216030863985
"257","Chile",2015,264555250851.642,2.30525713839252,13,3,6,6,1470798,48.3429183959961,12,6,1546323,15.8,1611,1891,1256,7.9,5.3,47.526,67.179,110.554,6.7,81.736,79.315,76.708,1.785,88.70764,82.78588,3.00630293366187
"258","Chile",2016,267904170064.212,1.26586760300135,13,3,6,6,1486757,48.3716011047363,12,6,1530162,15.8,1565,1828,1229,7.7,5.2,46.581,66.276,108.323,6.6,81.913,79.522,76.941,1.774,88.87094,83.13018,3.46278280351677
"259","Chile",2017,271895690380.202,1.48990600446166,13,3,6,6,1508203,48.3966789245605,12,6,1520724,15.8,1499,1767,1196,7.4,5,45.636,65.373,106.092,6.3,82.093,79.732,77.179,1.766,89.03424,83.47448,
"260","Chile",2018,,,13,3,6,6,,,12,6,,22.6,,,,,,,,,,,,,,,,
"261","Colombia",1999,187043734084.234,-4.2040152436995,10,3,6,5,5162260,49.0109596252441,11,6,3589425,11.8,18534,22046,11822,25.8,13.9,84.501,112.946,233.793,21.8,74.583,70.727,67.003,2.432,80.7394,67.4654,62.2924485456268
"262","Colombia",2000,192514504219.126,2.92486148315913,10,3,6,5,5221018,48.913158416748,11,6,3568889,11.8,17909,21248,11424,25,13.5,85.107,111.186,230.093,21.2,74.823,71.019,67.337,2.389,81.0536,67.9396,65.6841589628422
"263","Colombia",2001,195744701827.503,1.67789830770371,10,3,6,5,5131463,48.7591705322266,11,6,,11.8,17346,20530,11068,24.3,13.1,85.713,109.426,226.392,20.6,75.066,71.293,67.636,2.349,81.3678,68.4138,67.9208124324558
"264","Colombia",2002,200646110923.513,2.50398046549871,10,3,6,5,5193055,48.7602615356445,11,6,3723348,12,16813,19855,10741,23.6,12.8,86.319,107.666,222.691,20,75.313,71.556,67.911,2.311,81.682,68.888,68.2831346334286
"265","Colombia",2003,208507971113.511,3.9182719036082,10,3,6,5,,,11,6,,12,16296,19206,10407,22.9,12.4,81.7922,105.776,219.663,19.5,75.561,71.813,68.173,2.274,81.94101,69.19486,55.8049813400982
"266","Colombia",2004,219627747225.395,5.33302206745387,10,3,6,5,5259033,48.6688117980957,11,6,4050525,12,15771,18559,10065,22.3,12.1,77.2654,103.887,216.635,19,75.807,72.062,68.423,2.236,82.20003,69.50173,47.3034427848241
"267","Colombia",2005,229964649994.772,4.7065559338313,10,3,6,5,5298257,48.4868316650391,11,6,4297228,12.1,15225,17907,9723,21.6,11.8,72.7386,101.997,213.607,18.4,76.047,72.303,68.662,2.197,82.45904,69.80859,41.8406716648762
"268","Colombia",2006,245554885937.816,6.77940541878893,10,3,6,5,5296190,48.6142883300781,11,6,4509406,8.4,14670,17245,9359,21,11.4,68.2118,100.107,210.579,17.9,76.275,72.532,68.89,2.157,82.71805,70.11546,39.8738727287302
"269","Colombia",2007,262372092382.341,6.8486547845695,10,3,6,5,5292476,48.7733001708984,11,6,4684033,8.4,14112,16579,8991,20.4,11.1,63.685,98.218,207.551,17.4,76.486,72.749,69.109,2.118,82.97706,70.42232,38.7564301465263
